Price,Close,High,Low,Open,Volume
Ticker,EREGL.IS,EREGL.IS,EREGL.IS,EREGL.IS,EREGL.IS
Date,,,,,
2010-01-01,0.3551560342311859,0.3551560342311859,0.3551560342311859,0.3551560342311859,0
2010-01-04,0.3551560342311859,0.35995534425993536,0.3503563487381215,0.3583553656590661,71836794
2010-01-05,0.36315497756004333,0.3663546424531492,0.3567556477738316,0.3567556477738316,73491364
2010-01-06,0.36475464701652527,0.3663546254025004,0.3615549822723362,0.3631549606583114,27708427
2010-01-07,0.358355313539505,0.36315495661624725,0.35515598257693876,0.36315495661624725,40402260
2010-01-08,0.358355313539505,0.36315495661624725,0.3567556271990963,0.3599552919076718,46893994
2010-01-11,0.36315497756004333,0.36475466399270884,0.3551560030594197,0.3599553126669375,68805135
2010-01-12,0.3599552810192108,0.3615549673112298,0.35675561640742354,0.35835530269944255,31084007
2010-01-13,0.36475464701652527,0.3663546254025004,0.35515598652997105,0.3567556311699333,51336636
2010-01-14,0.3679542541503906,0.3727535627831178,0.36635456804263844,0.3711539183936106,57182066
2010-01-15,0.3679542541503906,0.3695538985398978,0.36475458990717063,0.3695538985398978,21781929
2010-01-18,0.3727535605430603,0.3743535803871579,0.3647545877151829,0.36635456584103565,34024854
2010-01-19,0.3807525634765625,0.3823525415536173,0.3727535491744032,0.37435356896970157,88042689
2010-01-20,0.39195123314857483,0.3967505420096905,0.38075259549648915,0.3823525737080964,92286513
2010-01-21,0.3887516260147095,0.39355093558274495,0.3855519611479261,0.39355093558274495,31471900
2010-01-22,0.37755289673805237,0.38395222494658793,0.3759532106997699,0.3807525608423201,37850737
2010-01-25,0.37595319747924805,0.3791528614709985,0.3743535532154609,0.37595319747924805,22001716
2010-01-26,0.37435364723205566,0.3759532918975836,0.36795431764140274,0.37435364723205566,47087405
2010-01-27,0.37915289402008057,0.3823525582865122,0.3743535853525374,0.375953229753649,43123057
2010-01-28,0.3807525634765625,0.3823525415536173,0.3775528993501578,0.3791528774272126,29067282
2010-01-29,0.3807525634765625,0.38715189172937187,0.3775528993501578,0.3775528993501578,84872464
2010-02-01,0.383952260017395,0.3871519244139252,0.38075259562086483,0.3823525738329947,19353763
2010-02-02,0.3823526203632355,0.39195128097495435,0.3823526203632355,0.3887516161890423,42446697
2010-02-03,0.3823526203632355,0.387151971528221,0.3807526419563969,0.38555195140313026,35192730
2010-02-04,0.3727535605430603,0.38075257508918253,0.3711539161631662,0.3775529108651908,27044374
2010-02-05,0.3503563106060028,0.35995530508308027,0.34395733555976565,0.35995530508308027,76668694
2010-02-08,0.3423573076725006,0.35035628133634,0.3391579768601099,0.34555697223088494,46959733
2010-02-09,0.3423573076725006,0.34555697223088494,0.3407576422663053,0.3407576422663053,32991073
2010-02-10,0.34555694460868835,0.35035625333050924,0.3439572793303627,0.34555694460868835,34954567
2010-02-11,0.34555694460868835,0.3471569436329809,0.34235728030607016,0.34555694460868835,34362789
2010-02-12,0.3439573049545288,0.3519562994340007,0.3407576404135417,0.34875663489301356,54622488
2010-02-15,0.3407576382160187,0.3439573027363714,0.3391579728288371,0.3391579728288371,17689362
2010-02-16,0.34715694189071655,0.34875660716101403,0.3407576133175963,0.3423572785878938,35332739
2010-02-17,0.35355597734451294,0.3551559974981527,0.3487566678121459,0.3487566678121459,44542693
2010-02-18,0.3503563106060028,0.3535559754316953,0.34875666592529364,0.3535559754316953,33417633
2010-02-19,0.3551560342311859,0.3551560342311859,0.34715703816936994,0.3503563487381215,52339153
2010-02-22,0.34715694189071655,0.3599552444318691,0.34395727760415645,0.34715694189071655,73878658
2010-02-23,0.33755797147750854,0.3519562948514867,0.33755797147750854,0.33755797147750854,48654698
2010-02-24,0.32955899834632874,0.3375579932372867,0.3215600034553708,0.32955899834632874,72056967
2010-02-25,0.32955899834632874,0.34235732342265973,0.32315966893515885,0.32955899834632874,103493281
2010-02-26,0.33435824513435364,0.3407575729493704,0.3295589161460539,0.33435824513435364,54580081
2010-03-01,0.3423573076725006,0.34395730682468956,0.33595831230172557,0.3423573076725006,60724736
2010-03-02,0.3423573076725006,0.34715697138307383,0.3407576422663053,0.3423573076725006,76253680
2010-03-03,0.3423573076725006,0.34395730682468956,0.33755797770792095,0.3423573076725006,47474213
2010-03-04,0.33755797147750854,0.34235730135350545,0.33755797147750854,0.33755797147750854,42749789
2010-03-05,0.3439573049545288,0.3455569703520265,0.33595831047505686,0.3439573049545288,71204438
2010-03-08,0.3503563106060028,0.3503563106060028,0.34395733555976565,0.3503563106060028,58729356
2010-03-09,0.3487566411495209,0.3535559503149782,0.3423573119527461,0.3487566411495209,82298624
2010-03-10,0.34555694460868835,0.3471569436329809,0.34235728030607016,0.34555694460868835,37547968
2010-03-11,0.3423573076725006,0.3487566367892692,0.3407576422663053,0.3423573076725006,29356925
2010-03-12,0.34555694460868835,0.35035625333050924,0.34235728030607016,0.34555694460868835,58627615
2010-03-15,0.3407576382160187,0.3455569681235529,0.3407576382160187,0.3407576382160187,34148094
